,PseudoTime
HFB9_177,0.09838957765698815
HFB12_136,0.04034447385316347
NPA6_034,0.02368064791998188
NPA7_046,0.8454978186481082
4SGA9_182,0.5787937347897493
NPA7_027,0.07106810109693075
HFB11_124,0.08583534953189997
HFB11_070,0.07411104972642524
HFA4_063,0.09679917209402636
4SGA7_146,0.5380015385562746
PSB2_053,0.13458338563038133
4SFGA3_182,0.07479362941661538
PSA5_015,0.11077508874700229
HFB9_078,0.092515894764095
4SGA7_025,0.38291697950172465
4SGA8_222,0.554437716067212
NPA7_054,0.14404165847433167
NPB3_035,0.3195166532575899
HFB11_057,0.09624060725659223
NPA7_018,0.9844932219133409
4SGA8_037,0.5558434546796575
4SFGA6_013,0.11729485877161058
PSA8_028,0.008092431260046724
4SFGA6_181,0.23720799070408102
4SGA8_202,0.5636210778739076
4SGA8_346,0.5932924929104338
HFB13_008,0.08885009021087437
HFB10_023,0.0865206896702211
4SGA7_069,0.5944854284517994
HFB13_084,0.05153964070651662
4SFGA4_152,0.14491005635933918
4SFGA4_215,0.9087416018812454
4SGA7_032,0.5934638019845347
NPA6_027,0.05677187976509623
4SGA7_281,0.5375053731589287
4SGA7_332,0.5296522673879157
NPA7_079,0.008604256155012441
HFA4_068,0.08298305943316009
4SFGA5_148,0.9162307569608502
HFA1_102,0.9756804194462317
HFB10_103,0.08064042519679332
4SGA9_307,0.5283909804684598
HFB11_090,0.0842300778247303
4SFGA4_045,0.08104359370905113
4SFGA6_053,0.6927527266862736
PSB1_091,0.10691598483806475
4SFGA4_088,0.08099345765044048
HFB9_029,0.12119521847148168
NPA6_008,0.01817720283950291
4SGA8_059,0.5319298353333524
PSA4_029,0.03792252035854425
4SGA7_083,0.5849146172422689
PSA8_040,0.06035516484994012
HFB9_182,0.01954831033327924
NPA7_036,0.8465067355567264
4SFGA4_038,0.0950627929999756
NPB6_025,0.05544191412006385
4SGA8_134,0.5996057989803668
NPA7_007,0.025006149043243248
4SFGA5_114,0.19942970513361757
HFB11_095,0.06981184798230582
4SFGA4_206,0.09544187132893403
4SFGA4_009,0.07979410574479551
4SGA9_171,0.4298577689472672
4SFGA4_182,0.09551104283913533
NPB2_057,0.017333365348205735
4SGA8_167,0.5575576106227668
HFB12_071,0.08948367281189576
HFB13_125,0.09066589599896309
HFB12_037,0.06879225354483333
PSB2_036,0.051595150817621206
4SGA8_347,0.5517702121152209
PSB2_083,0.0255888946098247
NPA6_059,0.02337431598231178
HFB11_020,0.12956183843943622
4SGA8_029,0.40008290743701874
PSA5_032,0.05244494229967008
HFB10_072,0.11721708642573099
4SGA8_352,0.5713177296714769
HFB13_035,0.08432440371379747
PSB3_021,0.6643071587560124
NPB5_020,0.12168447229458082
4SGA7_344,0.49549811373910346
PSB1_024,0.1736823472975064
HFB13_205,0.10606959881247928
HFA4_084,0.11145652530400572
HFA4_073,0.07322275038713479
NPA6_076,0.01116163111368076
4SFGA3_095,0.13260734524186055
4SFGA4_139,0.08070108176452381
4SFGA4_111,0.09109758666555279
4SFGA6_034,0.10595108262662122
PSA8_036,0.11453140557698765
HFB13_009,0.2795592175746889
HFB10_127,0.11948896167728812
HFB12_046,0.030361853538205943
HFB11_016,0.09078030197752308
HFA4_017,0.026737943474669755
HFB9_024,0.09469171818274393
4SFGA4_149,0.18326455614708534
4SFGA6_071,0.11287698691039902
HFB14_019,0.14520214528221587
PSB3_080,0.1190890638279566
4SGA7_030,0.5567104873615429
4SGA7_179,0.5489507186514969
4SGA7_308,0.46846683314095083
NPA6_037,0.03038339745504319
HFB10_098,0.11924296539731746
HFB13_162,0.09130896292236264
PSB3_095,0.09672589561470385
HFB14_006,0.05043956114244264
4SGA8_106,0.552528662993124
4SFGA4_166,0.2966022184454042
4SGA9_116,0.5981412976581177
NPB5_059,0.13911098398286093
HFB12_084,0.1014419810293305
4SGA7_251,0.5989078508951046
PSB2_048,0.15517368798403566
4SGA8_226,0.5918119480127729
PSB3_057,0.17372843076504768
4SGA9_229,0.2719811031677559
4SFGA3_055,0.11210182758776539
HFA1_069,0.023233076998723255
4SGA7_359,0.5908317366428404
HFB10_119,0.012816347861331952
PSB3_083,0.03617380969852736
NPB3_044,0.08118592557282801
4SGA8_185,0.5731233415052389
NPB5_080,0.13355679110473215
4SGA7_080,0.5449973186049575
4SGA9_016,0.47290989537974826
4SGA7_206,0.5904734244060208
4SFGA3_106,0.07351818362002667
4SFGA3_086,0.1748625665323037
PSB1_080,0.9001202535814369
NPB4_014,0.1114679194653293
HFA4_056,0.03422555735855704
4SGA7_094,0.5668009575887343
4SGA8_008,0.596098385141253
HFB9_172,0.14234971768383403
4SFGA5_027,0.08285107202993383
NPB2_007,0.0500646725580529
HFB9_028,0.08956516170483944
4SFGA4_034,0.10895580220809972
4SGA7_145,0.5123398460146851
HFB12_073,0.026510268459418306
4SFGA5_140,0.8690407024314981
HFB13_186,0.07808562637094993
4SFGA6_172,0.09371374369172152
HFA4_079,0.04545692233337661
4SGA7_075,0.4360261967372717
4SFGA6_237,0.06922588367217543
HFB14_010,0.022623311968334902
4SFGA4_099,0.18446737647108588
4SGA8_331,0.5514708012329053
HFB13_083,0.07956383715182497
NPB6_004,0.03312238015577257
PSA2_018,0.08673219279399648
4SGA9_062,0.5227540623448812
4SFGA5_079,0.10934416404270579
4SGA8_129,0.5719036700887707
HFA1_120,0.07607049730808253
4SFGA6_085,0.0636891580103384
4SFGA3_134,0.09678162269964291
4SGA7_227,0.5471407109819396
4SFGA5_124,0.10795357851544109
4SGA7_186,0.47825176017384263
NPA7_032,0.031435460715299075
4SGA8_215,0.5672871266327646
4SGA7_197,0.5680034060234785
NPB4_052,0.07408934836066189
HFB9_142,0.08051133721275358
4SGA8_267,0.5655400219249973
HFB13_066,0.0770628381463524
PSB3_058,0.026996093048617265
HFB13_019,0.08618323629470817
HFB12_079,0.08209028058566871
HFA1_098,0.06929374609418472
NPB4_038,0.14083105757875444
NPB3_021,0.0317961551487431
NPA6_086,0.03715291520296963
4SFGA3_138,0.10065642475438323
4SFGA6_169,0.1758133085221317
PSA2_007,0.027878573616967946
NPA7_071,0.09128239265674967
4SGA7_180,0.48587115286055427
NPB8_048,0.084685907177232
HFB12_152,0.14138683033812594
4SFGA5_046,0.17195231726055205
4SFGA4_060,0.629894446844194
HFB9_119,0.03819509420301116
HFB13_004,0.07118135542653896
4SGA7_176,0.5954708859842577
NPB6_030,0.022264731468919798
NPB6_059,0.0660032737764474
4SGA7_195,0.5662781372210414
4SFGA3_121,0.18524728322893802
HFB10_043,0.1435803665096524
4SGA8_345,0.5442333461913205
4SFGA5_086,0.0791855577385092
PSA8_042,0.6211382578032252
4SFGA4_214,0.152040901429743
4SFGA6_215,0.10871336906719911
HFB9_083,0.08381900492546904
4SGA8_325,0.5866526601637174
PSA1_041,0.9257136480695122
NPB6_052,0.0855718599130019
4SGA8_319,0.5001937173354636
4SFGA4_065,0.10722624376852466
HFB10_148,0.019435857803846223
PSB3_093,0.10118702533718964
4SGA8_323,0.5666499251140977
4SGA8_160,0.5844581142241116
4SGA9_138,0.5153939099883074
HFB12_089,0.07930473422603446
4SGA7_113,0.5794745946647033
4SFGA6_125,0.23184828576581543
HFA4_023,0.2868733508940531
4SGA7_297,0.54943496090882
4SGA7_033,0.5901036110887952
4SGA8_244,0.547171723202225
NPA7_013,0.01882212736417501
4SGA8_122,0.5447271727794443
4SFGA6_173,0.08692675516400675
PSA6_032,0.8590854692343296
4SGA9_123,0.5778288245876086
PSB3_075,0.048007734018405794
4SFGA5_010,0.12148052483392108
4SGA8_317,0.5693875942199963
4SGA8_137,0.5510177621562485
HFB12_108,0.07018582639187823
4SFGA6_084,0.08449822672849405
4SGA7_214,0.5712079738718638
4SGA7_177,0.5919127668761478
4SGA7_271,0.5693447804641026
HFB11_065,0.02329348206260761
4SGA8_236,0.4405011819701878
NPA7_031,0.021885154009108638
PSB3_046,0.02146401739461747
PSA6_046,0.7387722350193421
HFA4_082,0.04679432531275193
4SFGA4_031,0.09969021129821848
4SFGA3_070,0.28279992498085404
4SFGA6_243,0.21272518164902982
NPB7_018,0.08116944838760677
PSB2_059,0.027284909628263427
HFB13_142,0.10388721751411997
4SFGA5_011,0.09970387543823991
PSB2_052,0.7264100121884993
4SFGA4_155,0.08305259294516112
4SFGA6_208,0.11309883067751128
HFB11_088,0.029244371947687642
